"concept","conceptTitle"
"https://semopenalex.org/concept/C104317684","Gene"
"https://semopenalex.org/concept/C190283241","Apoptosis"
"https://semopenalex.org/concept/C203014093","Immunology"
"https://semopenalex.org/concept/C2776914184","Inflammation"
"https://semopenalex.org/concept/C2777730290","NF-κB"
"https://semopenalex.org/concept/C54355233","Genetics"
"https://semopenalex.org/concept/C62478195","Signal transduction"
"https://semopenalex.org/concept/C17991360","Tumor necrosis factor alpha"
"https://semopenalex.org/concept/C184235292","Kinase"
"https://semopenalex.org/concept/C137355542","World War II"
"https://semopenalex.org/concept/C143409427","Magnetic resonance imaging"
"https://semopenalex.org/concept/C2780640218","Multiple sclerosis"
"https://semopenalex.org/concept/C142724271","Pathology"
"https://semopenalex.org/concept/C2781069245","Tuberculosis"
"https://semopenalex.org/concept/C159654299","Antibody"
"https://semopenalex.org/concept/C163764329","Autoantibody"
"https://semopenalex.org/concept/C501734568","Mutation"
"https://semopenalex.org/concept/C141071460","Surgery"
"https://semopenalex.org/concept/C2778690821","Cytokine"
"https://semopenalex.org/concept/C8891405","Immune system"
"https://semopenalex.org/concept/C2777164284","Estrogen"
"https://semopenalex.org/concept/C36454342","Radiography"
"https://semopenalex.org/concept/C71315377","Hormone"
"https://semopenalex.org/concept/C2779134260","Disease"
"https://semopenalex.org/concept/C41091548","Epigenetics"
"https://semopenalex.org/concept/C552990157","DNA"
"https://semopenalex.org/concept/C30481170","Chromosome"
"https://semopenalex.org/concept/C2780674031","Cancer immunotherapy"
"https://semopenalex.org/concept/C148738053","Cellular differentiation"
"https://semopenalex.org/concept/C2775934546","Biopsy"
"https://semopenalex.org/concept/C2777542201","Fluorescence in situ hybridization"
"https://semopenalex.org/concept/C529295009","Epithelium"
"https://semopenalex.org/concept/C544855455","Histopathology"
"https://semopenalex.org/concept/C549673821","Anatomical pathology"
"https://semopenalex.org/concept/C553184892","Flow cytometry"
"https://semopenalex.org/concept/C57742111","Histology"
"https://semopenalex.org/concept/C202751555","In vitro"
"https://semopenalex.org/concept/C2775960820","Growth factor"
"https://semopenalex.org/concept/C29537977","Cell cycle"
"https://semopenalex.org/concept/C75217442","Protein kinase B"
"https://semopenalex.org/concept/C2780192828","Prostate cancer"
"https://semopenalex.org/concept/C61367390","Androgen receptor"
"https://semopenalex.org/concept/C205260736","Heat shock protein"
"https://semopenalex.org/concept/C25602115","Ubiquitin"
"https://semopenalex.org/concept/C2776925932","Neurodegeneration"
"https://semopenalex.org/concept/C109159458","Haematopoiesis"
"https://semopenalex.org/concept/C181152851","Lymphatic system"
"https://semopenalex.org/concept/C2777761686","Lymphocyte"
"https://semopenalex.org/concept/C2778488018","White blood cell"
"https://semopenalex.org/concept/C2780381497","Fibroblast"
"https://semopenalex.org/concept/C2780849966","Lymph node"
"https://semopenalex.org/concept/C518705261","Connective tissue"
"https://semopenalex.org/concept/C138816342","Public health"
"https://semopenalex.org/concept/C2780472235","Mammography"
"https://semopenalex.org/concept/C530470458","Breast cancer"
"https://semopenalex.org/concept/C2778491387","Breast cancer screening"
"https://semopenalex.org/concept/C2779328170","X-ray"
"https://semopenalex.org/concept/C138626823","Chromosomal translocation"
"https://semopenalex.org/concept/C152000582","Anoikis"
"https://semopenalex.org/concept/C2779013556","Metastasis"
"https://semopenalex.org/concept/C31573885","Programmed cell death"
"https://semopenalex.org/concept/C96232424","Cancer cell"
"https://semopenalex.org/concept/C2780394083","Angiogenesis"
"https://semopenalex.org/concept/C503630168","Necrosis"
"https://semopenalex.org/concept/C76419328","Epithelial–mesenchymal transition"
"https://semopenalex.org/concept/C93304396","Mitosis"
"https://semopenalex.org/concept/C98424977","Caspase"
"https://semopenalex.org/concept/C31601959","Medical imaging"
"https://semopenalex.org/concept/C2779234561","Pregnancy"
"https://semopenalex.org/concept/C111599444","Genetic enhancement"
"https://semopenalex.org/concept/C2776938444","Cystic fibrosis"
"https://semopenalex.org/concept/C2778620579","Sickle cell anemia"
"https://semopenalex.org/concept/C2778908642","Genetic disorder"
"https://semopenalex.org/concept/C2780647506","Huntington's disease"
"https://semopenalex.org/concept/C2780673598","Genetic testing"
"https://semopenalex.org/concept/C80227256","Genetic counseling"
"https://semopenalex.org/concept/C2777663904","Blood vessel"
"https://semopenalex.org/concept/C509974204","Radiation therapy"
"https://semopenalex.org/concept/C2777416452","Brachytherapy"
"https://semopenalex.org/concept/C2779244869","Proton therapy"
"https://semopenalex.org/concept/C143998085","Oncology"
"https://semopenalex.org/concept/C2780225610","Cataracts"
"https://semopenalex.org/concept/C2780362710","Bcl-2-associated X protein"
"https://semopenalex.org/concept/C2780837026","Grief"
"https://semopenalex.org/concept/C190727270","DNA methylation"
"https://semopenalex.org/concept/C2779734285","Parkinson's disease"
"https://semopenalex.org/concept/C541997718","Ischemia"
"https://semopenalex.org/concept/C201903717","Cohort study"
"https://semopenalex.org/concept/C107130276","Epidemiology"
"https://semopenalex.org/concept/C27081682","Placebo"
"https://semopenalex.org/concept/C168563851","Randomized controlled trial"
"https://semopenalex.org/concept/C203092338","Clinical endpoint"
"https://semopenalex.org/concept/C2779535233","Pharmaceutical drug"
"https://semopenalex.org/concept/C31760486","Phases of clinical research"
"https://semopenalex.org/concept/C535046627","Clinical trial"
"https://semopenalex.org/concept/C95190672","Meta-analysis"
"https://semopenalex.org/concept/C2779634917","Stereotactic surgery"
"https://semopenalex.org/concept/C2483381","NPM1"
"https://semopenalex.org/concept/C2776192174","Mdm2"
"https://semopenalex.org/concept/C2776601000","Acute promyelocytic leukemia"
"https://semopenalex.org/concept/C2776694085","Chemotherapy"
"https://semopenalex.org/concept/C2777872185","Anaplastic large-cell lymphoma"
"https://semopenalex.org/concept/C2781018059","Oncogene"
"https://semopenalex.org/concept/C2778048844","Malaria"
"https://semopenalex.org/concept/C2778248108","Anemia"
"https://semopenalex.org/concept/C2780387249","Radiosurgery"
"https://semopenalex.org/concept/C2777914695","Pneumonia"
"https://semopenalex.org/concept/C2779225474","Urinalysis"
"https://semopenalex.org/concept/C2780091579","Kidney"
"https://semopenalex.org/concept/C2780074459","Heart disease"
"https://semopenalex.org/concept/C2778198053","Heart failure"
"https://semopenalex.org/concept/C2776608951","Axilla"
"https://semopenalex.org/concept/C2777035434","Abscess"
"https://semopenalex.org/concept/C2777575956","Rheumatoid arthritis"
"https://semopenalex.org/concept/C2777673923","Acne"
"https://semopenalex.org/concept/C2780564577","Psoriasis"
"https://semopenalex.org/concept/C500558357","Myocardial infarction"
"https://semopenalex.org/concept/C2778213512","Coronary artery disease"
"https://semopenalex.org/concept/C207480886","Allergy"
"https://semopenalex.org/concept/C2776760755","Azathioprine"
"https://semopenalex.org/concept/C2777921159","Sirolimus"
"https://semopenalex.org/concept/C2779528694","Ciclosporin"
"https://semopenalex.org/concept/C2778804307","Basal cell carcinoma"
"https://semopenalex.org/concept/C2776835612","Sebaceous carcinoma"
"https://semopenalex.org/concept/C2777789703","Skin cancer"
"https://semopenalex.org/concept/C2778755798","Epithelioma"
"https://semopenalex.org/concept/C29730261","Toxicity"
"https://semopenalex.org/concept/C2778789114","Cardiac surgery"
"https://semopenalex.org/concept/C48349386","Reactive oxygen species"
"https://semopenalex.org/concept/C2778431562","Retrovirus"
"https://semopenalex.org/concept/C2778461978","Leukemia"
"https://semopenalex.org/concept/C81885089","Cell culture"
"https://semopenalex.org/concept/C121346293","Endogenous retrovirus"
"https://semopenalex.org/concept/C2777841672","Feline immunodeficiency virus"
"https://semopenalex.org/concept/C2776139714","Bone pain"
"https://semopenalex.org/concept/C2776164576","Osteoarthritis"
"https://semopenalex.org/concept/C2776541429","Osteoporosis"
"https://semopenalex.org/concept/C2777760704","Osteosarcoma"
"https://semopenalex.org/concept/C2780007613","Bone marrow"
"https://semopenalex.org/concept/C511355011","Obesity"
"https://semopenalex.org/concept/C2776364478","Multiple myeloma"
"https://semopenalex.org/concept/C2778367456","Proteasome inhibitor"
"https://semopenalex.org/concept/C2777478702","Bortezomib"
"https://semopenalex.org/concept/C2776197502","Ehrlich ascites carcinoma"
"https://semopenalex.org/concept/C207001950","In vivo"
"https://semopenalex.org/concept/C502942594","Cancer research"
"https://semopenalex.org/concept/C544821477","Weight loss"
"https://semopenalex.org/concept/C2779280984","Crohn's disease"
"https://semopenalex.org/concept/C2777614518","Mitochondrial disease"
"https://semopenalex.org/concept/C2776755627","Cyclophosphamide"
"https://semopenalex.org/concept/C2777982462","Adjuvant therapy"
"https://semopenalex.org/concept/C2778336483","Chemotherapy regimen"
"https://semopenalex.org/concept/C2780456651","Fluorouracil"
"https://semopenalex.org/concept/C2781190966","Docetaxel"
"https://semopenalex.org/concept/C2781303535","Doxorubicin"
"https://semopenalex.org/concept/C2776349617","Thymic carcinoma"
"https://semopenalex.org/concept/C2779159893","Thymoma"
"https://semopenalex.org/concept/C2776256026","Lung cancer"
"https://semopenalex.org/concept/C2777407522","Mesothelioma"
"https://semopenalex.org/concept/C2777609668","Mediastinal tumor"
"https://semopenalex.org/concept/C2778039489","Salivary gland cancer"
"https://semopenalex.org/concept/C2778256501","Sarcoma"
"https://semopenalex.org/concept/C2779020855","Hodgkin's lymphoma"
"https://semopenalex.org/concept/C2780427987","Ovarian cancer"
"https://semopenalex.org/concept/C2781211901","Spindle cell carcinoma"
"https://semopenalex.org/concept/C204232928","Immunohistochemistry"
"https://semopenalex.org/concept/C2777658100","Melanoma"
"https://semopenalex.org/concept/C2777180808","Penile cancer"
"https://semopenalex.org/concept/C2778378917","Xeroderma pigmentosum"
"https://semopenalex.org/concept/C2780370617","Vulvar cancer"
"https://semopenalex.org/concept/C2777214474","Cirrhosis"
"https://semopenalex.org/concept/C107641696","Fibrous capsule of Glisson"
"https://semopenalex.org/concept/C2776029263","Hepatitis"
"https://semopenalex.org/concept/C2776042228","Asthma"
"https://semopenalex.org/concept/C2777714996","Lung"
"https://semopenalex.org/concept/C2776368728","Human T-lymphotropic virus"
"https://semopenalex.org/concept/C2780815077","Adult T-cell leukemia/lymphoma"
"https://semopenalex.org/concept/C2775842073","Positron emission tomography"
"https://semopenalex.org/concept/C2989005","Nuclear medicine"
"https://semopenalex.org/concept/C2779442783","Alcohol use disorder"
"https://semopenalex.org/concept/C2780931562","Alcohol abuse"
"https://semopenalex.org/concept/C19648533","Evidence-based medicine"
"https://semopenalex.org/concept/C2777367657","Toxin"
"https://semopenalex.org/concept/C2776651944","Cyberknife"
"https://semopenalex.org/concept/C2775908122","External beam radiotherapy"
"https://semopenalex.org/concept/C2779130545","Brain tumor"
"https://semopenalex.org/concept/C2779160599","Meningioma"
"https://semopenalex.org/concept/C2780920918","Radiation oncologist"
"https://semopenalex.org/concept/C9267231","Image-guided radiation therapy"
"https://semopenalex.org/concept/C551997983","Malnutrition"
"https://semopenalex.org/concept/C2780635560","Neoplasm"
"https://semopenalex.org/concept/C74909509","Gerontology"
"https://semopenalex.org/concept/C2776164570","Epoetin alfa"
"https://semopenalex.org/concept/C2781323092","Photodynamic therapy"
"https://semopenalex.org/concept/C2777668072","Parkin"
"https://semopenalex.org/concept/C2778691456","Angelman syndrome"
"https://semopenalex.org/concept/C2781307694","Proteolysis"
"https://semopenalex.org/concept/C2777484599","Langerhans cell histiocytosis"
"https://semopenalex.org/concept/C197934379","Adverse effect"
"https://semopenalex.org/concept/C2776344615","Premature birth"
"https://semopenalex.org/concept/C2779778371","Congenital disorder"
"https://semopenalex.org/concept/C2779096551","Hernia"
"https://semopenalex.org/concept/C2779728014","Nicotinamide"
"https://semopenalex.org/concept/C502032728","Alzheimer's disease"
"https://semopenalex.org/concept/C2777362581","Molecular oncology"
"https://semopenalex.org/concept/C15083742","Nanomedicine"
"https://semopenalex.org/concept/C2780140570","Surgical oncology"
"https://semopenalex.org/concept/C2780210213","Pancreatic cancer"
"https://semopenalex.org/concept/C32220436","Personalized medicine"
"https://semopenalex.org/concept/C526805850","Colorectal cancer"
"https://semopenalex.org/concept/C2777607303","Immunodeficiency"
"https://semopenalex.org/concept/C2780252810","Immunosuppression"
"https://semopenalex.org/concept/C2781107101","Acute lymphocytic leukemia"
"https://semopenalex.org/concept/C116558999","Reconstructive surgery"
"https://semopenalex.org/concept/C106977388","Medical research"
"https://semopenalex.org/concept/C2776912625","Systemic lupus erythematosus"
"https://semopenalex.org/concept/C2778260677","Inflammatory bowel disease"
"https://semopenalex.org/concept/C2780479503","Ulcerative colitis"
"https://semopenalex.org/concept/C2777938653","Chronic lymphocytic leukemia"
"https://semopenalex.org/concept/C145103041","Embryonic stem cell"
"https://semopenalex.org/concept/C2778674544","Systemic disease"
"https://semopenalex.org/concept/C2779075594","Autoimmune disease"
"https://semopenalex.org/concept/C2778715743","Prosthesis"
"https://semopenalex.org/concept/C2779674975","Hypercalcaemia"
"https://semopenalex.org/concept/C2776980637","Enzyme inhibitor"
"https://semopenalex.org/concept/C28328180","Stem cell"
"https://semopenalex.org/concept/C2778435480","Colonoscopy"
"https://semopenalex.org/concept/C2780879335","End-of-life care"
"https://semopenalex.org/concept/C111829193","Fusion gene"
"https://semopenalex.org/concept/C163864487","Monoclonal"
"https://semopenalex.org/concept/C542903549","Monoclonal antibody"
"https://semopenalex.org/concept/C2778506435","Carcinoid tumors"
"https://semopenalex.org/concept/C2780862961","Ductal carcinoma"
"https://semopenalex.org/concept/C2780964533","Cystadenocarcinoma"
"https://semopenalex.org/concept/C114246631","Carcinogen"
"https://semopenalex.org/concept/C2778292576","Neoadjuvant therapy"
"https://semopenalex.org/concept/C2776808855","TNM staging system"
"https://semopenalex.org/concept/C2778424827","Chemoradiotherapy"
"https://semopenalex.org/concept/C2779338263","Lymphoma"
"https://semopenalex.org/concept/C2780325254","Cancer staging"
"https://semopenalex.org/concept/C2780597408","Cyst"
"https://semopenalex.org/concept/C134935766","DNA repair"
"https://semopenalex.org/concept/C2778271429","Neovascularization"
"https://semopenalex.org/concept/C555293320","Diabetes mellitus"
"https://semopenalex.org/concept/C111815664","Framingham Heart Study"
"https://semopenalex.org/concept/C2776265017","Pulmonary embolism"
"https://semopenalex.org/concept/C2781447364","Tumor marker"
"https://semopenalex.org/concept/C2777058707","Follicular lymphoma"
"https://semopenalex.org/concept/C2777257650","B-cell lymphoma"
"https://semopenalex.org/concept/C2777525834","Mantle cell lymphoma"
"https://semopenalex.org/concept/C2777756187","Mycosis fungoides"
"https://semopenalex.org/concept/C2778559949","Diffuse large B-cell lymphoma"
"https://semopenalex.org/concept/C2779526237","MALT lymphoma"
"https://semopenalex.org/concept/C2780483514","Hairy cell leukemia"
"https://semopenalex.org/concept/C2781038049","Waldenstrom macroglobulinemia"
"https://semopenalex.org/concept/C2776235491","Prostate"
"https://semopenalex.org/concept/C2778120868","Stereotactic radiation therapy"
"https://semopenalex.org/concept/C2781114028","Management of prostate cancer"
"https://semopenalex.org/concept/C2777063308","Neutropenia"
"https://semopenalex.org/concept/C2777408962","Hematopoietic stem cell transplantation"
"https://semopenalex.org/concept/C2781047461","Biopharmaceutical"
"https://semopenalex.org/concept/C2777077863","Arthritis"
"https://semopenalex.org/concept/C143753070","Ultrasound"
"https://semopenalex.org/concept/C2777690781","Elastography"
"https://semopenalex.org/concept/C2777365067","High-intensity focused ultrasound"
"https://semopenalex.org/concept/C2780727368","Viral disease"
"https://semopenalex.org/concept/C2776932478","Breast self-examination"
"https://semopenalex.org/concept/C2778465573","Breast lumps"
"https://semopenalex.org/concept/C2780611847","Busulfan"
"https://semopenalex.org/concept/C2778684742","Melphalan"
"https://semopenalex.org/concept/C2778385053","Haemophilia"
"https://semopenalex.org/concept/C206179267","Medical history"
"https://semopenalex.org/concept/C2779982284","Deformity"
"https://semopenalex.org/concept/C168444539","Organ transplantation"
"https://semopenalex.org/concept/C2779372377","Lung cancer susceptibility"
"https://semopenalex.org/concept/C2781105203","Benign tumor"
"https://semopenalex.org/concept/C90703135","Tissue culture"
"https://semopenalex.org/concept/C2779391198","Surveillance, Epidemiology, and End Results"
"https://semopenalex.org/concept/C2778527826","Cancer registry"
"https://semopenalex.org/concept/C179755657","Mortality rate"
"https://semopenalex.org/concept/C2776283816","Survival rate"
"https://semopenalex.org/concept/C2778476748","Non-Hodgkin's lymphoma"
"https://semopenalex.org/concept/C2779984678","Response Evaluation Criteria in Solid Tumors"
"https://semopenalex.org/concept/C2780558122","Relative survival"
"https://semopenalex.org/concept/C63592243","Epidemiology of cancer"
"https://semopenalex.org/concept/C181588539","Physical exercise"
"https://semopenalex.org/concept/C2779483572","Dementia"
"https://semopenalex.org/concept/C83640560","Chromatin"
"https://semopenalex.org/concept/C2779245376","Miscarriage"
"https://semopenalex.org/concept/C65290608","Teratology"
"https://semopenalex.org/concept/C146304588","Case-control study"
"https://semopenalex.org/concept/C2781301800","Sarcoidosis"
"https://semopenalex.org/concept/C2780014101","Blood transfusion"
"https://semopenalex.org/concept/C2778164965","Brain metastasis"
"https://semopenalex.org/concept/C2777062278","Chondroblastoma"
"https://semopenalex.org/concept/C109316439","Cytotoxicity"
"https://semopenalex.org/concept/C2778653478","Kidney disease"
"https://semopenalex.org/concept/C2777055284","Birt–Hogg–Dubé syndrome"
"https://semopenalex.org/concept/C2776231280","Liver cancer"
"https://semopenalex.org/concept/C2776983459","Syphilis"
"https://semopenalex.org/concept/C2777180221","Type 2 diabetes"
"https://semopenalex.org/concept/C2780832733","Choriocarcinoma"
"https://semopenalex.org/concept/C2776455275","Hepatitis C"
"https://semopenalex.org/concept/C2777382497","Hepatitis B"
"https://semopenalex.org/concept/C2778298627","Genistein"
"https://semopenalex.org/concept/C2780128664","National Health Interview Survey"
"https://semopenalex.org/concept/C102230213","Transgene"
"https://semopenalex.org/concept/C2780512811","Gastrointestinal tract"
"https://semopenalex.org/concept/C2781156865","Lesion"
"https://semopenalex.org/concept/C2777428134","Adenoma"
"https://semopenalex.org/concept/C2776780178","COPD"
"https://semopenalex.org/concept/C2777218350","Preeclampsia"
"https://semopenalex.org/concept/C2780608335","Intravenous therapy"
"https://semopenalex.org/concept/C2776015282","Vasculitis"
"https://semopenalex.org/concept/C2776715637","Neuroblastoma"
"https://semopenalex.org/concept/C2778997737","Nasopharyngeal carcinoma"
"https://semopenalex.org/concept/C2777757722","Mastectomy"
"https://semopenalex.org/concept/C2779572924","Lumpectomy"
"https://semopenalex.org/concept/C2779537928","Familial Mediterranean fever"
"https://semopenalex.org/concept/C2779951007","Amyloidosis"
"https://semopenalex.org/concept/C2780653079","Rituximab"
"https://semopenalex.org/concept/C2777088508","Endometrial cancer"
"https://semopenalex.org/concept/C2779494336","Hysterectomy"
"https://semopenalex.org/concept/C2780566971","Uterine fibroids"
"https://semopenalex.org/concept/C2777689261","Endometrial hyperplasia"
"https://semopenalex.org/concept/C2777795800","Leiomyoma"
"https://semopenalex.org/concept/C2777532014","Leiomyosarcoma"
"https://semopenalex.org/concept/C2781413609","Regimen"
"https://semopenalex.org/concept/C79946673","Naturopathy"
"https://semopenalex.org/concept/C2778996910","Bronchoscopy"
"https://semopenalex.org/concept/C2781059491","Methotrexate"
"https://semopenalex.org/concept/C2779797108","Hemorrhoids"
"https://semopenalex.org/concept/C2780212769","Sentinel lymph node"
"https://semopenalex.org/concept/C2780868878","Immunogenicity"
"https://semopenalex.org/concept/C2776178377","Interferon"
"https://semopenalex.org/concept/C2778729363","Myeloid leukemia"
"https://semopenalex.org/concept/C2778220009","Cervical cancer"
"https://semopenalex.org/concept/C2778562196","Menopause"
"https://semopenalex.org/concept/C2777546739","Carcinoma"
"https://semopenalex.org/concept/C19527891","Medical physics"
"https://semopenalex.org/concept/C127561419","Downregulation and upregulation"
"https://semopenalex.org/concept/C16224149","Cell adhesion molecule"
"https://semopenalex.org/concept/C2776204877","Amputation"
"https://semopenalex.org/concept/C2776178081","Respiratory disease"
"https://semopenalex.org/concept/C2776107976","Tumor microenvironment"
"https://semopenalex.org/concept/C2781184683","Nephropathy"
"https://semopenalex.org/concept/C2779802037","Diarrhea"
"https://semopenalex.org/concept/C2780955771","Abdominal pain"
"https://semopenalex.org/concept/C2781182431","Adenocarcinoma"
"https://semopenalex.org/concept/C2779972918","Graft-versus-host disease"
"https://semopenalex.org/concept/C136948725","Soft tissue"
"https://semopenalex.org/concept/C2778629024","Soft tissue sarcoma"
"https://semopenalex.org/concept/C111337013","Irradiation"
"https://semopenalex.org/concept/C2780221984","Body mass index"
"https://semopenalex.org/concept/C2778451229","Endoscopy"
"https://semopenalex.org/concept/C2776914593","Forceps"
"https://semopenalex.org/concept/C2778838687","Mycoplasma"
"https://semopenalex.org/concept/C2780886150","Edema"
"https://semopenalex.org/concept/C2777688143","Infertility"
"https://semopenalex.org/concept/C2779840525","Anal cancer"
"https://semopenalex.org/concept/C2777318727","Lactate dehydrogenase"
"https://semopenalex.org/concept/C2778065480","Transitional cell carcinoma"
"https://semopenalex.org/concept/C2780352672","Bladder cancer"
"https://semopenalex.org/concept/C2778570526","Rash"
"https://semopenalex.org/concept/C2780814781","Familial adenomatous polyposis"
"https://semopenalex.org/concept/C2777931997","Oligodendroglioma"
"https://semopenalex.org/concept/C2778227246","Glioma"
"https://semopenalex.org/concept/C2778880634","Astrocytoma"
"https://semopenalex.org/concept/C2776057878","Teratoma"
"https://semopenalex.org/concept/C2775915377","Lupus erythematosus"
"https://semopenalex.org/concept/C2781196997","Herpes simplex virus"
"https://semopenalex.org/concept/C2779742542","Esophageal cancer"
"https://semopenalex.org/concept/C2781232474","Type 1 diabetes"
"https://semopenalex.org/concept/C2778904085","Cancer pain"
"https://semopenalex.org/concept/C2780130043","Autoimmunity"
"https://semopenalex.org/concept/C2779422640","Childhood obesity"
"https://semopenalex.org/concept/C2780586474","Overweight"
"https://semopenalex.org/concept/C2779329777","Bone density"
"https://semopenalex.org/concept/C2780247198","Weakness"
